date,playerId,team,duckType
4/07/2026,P003,5th XI,standard
5/07/2026,P065,5th XI,standard
11/07/2026,P076,Women,golden
12/07/2026,P094,Women,standard
18/07/2026,P029,2nd XI,standard
19/07/2026,P061,3rd XI,standard
25/07/2026,P001,1st XI,golden
1/08/2026,P078,Women,standard
2/08/2026,P069,2nd XI,diamond
2/08/2026,P043,1st XI,golden
3/08/2026,P077,Women,standard
8/08/2026,P001,1st XI,standard
9/08/2026,P003,5th XI,standard
10/08/2026,P007,1st XI,golden
15/08/2026,P061,4th XI,standard
18/08/2026,P078,Women,golden
19/08/2026,P003,5th XI,standard
20/08/2026,P001,1st XI,diamond
21/08/2026,P093,Women,standard
22/08/2026,P011,2nd XI,golden
23/08/2026,P054,3rd XI,standard
25/08/2026,P095,Women,standard
29/08/2026,P065,5th XI,standard
29/08/2026,P068,1st XI,standard
29/08/2026,P008,4th XI,golden
2/09/2026,P001,1st XI,standard
5/09/2026,P003,5th XI,diamond
5/09/2026,P060,4th XI,standard
5/09/2026,P095,Women,standard
5/09/2026,P048,5th XI,standard
6/09/2026,P014,1st XI,golden
12/09/2026,P082,Women,standard
12/09/2026,P041,2nd XI,standard
13/09/2026,P083,Women,standard
19/09/2026,P088,Women,standard
19/09/2026,P061,4th XI,standard
